x,y
507.0,268.0
450.0,269.0
467.0,268.0
496.0,268.0
69.0,269.0
241.0,271.0
434.0,272.0
135.0,272.0
49.0,273.0
57.0,272.0
130.0,272.0
11.0,273.0
144.0,274.0
148.0,276.0
240.0,276.0
366.0,276.0
394.0,277.0
36.0,278.0
65.0,278.0
403.0,278.0
410.0,278.0
40.0,278.0
61.0,278.0
188.0,279.0
388.0,278.0
398.0,278.0
16.0,279.0
113.0,280.0
126.0,280.0
339.0,281.0
120.0,281.0
285.0,281.0
110.0,282.0
232.0,283.0
398.0,283.0
73.0,284.0
99.0,284.0
147.0,284.0
229.0,283.0
285.0,284.0
28.0,284.0
40.0,285.0
144.0,285.0
431.0,287.0
13.0,288.0
388.0,288.0
403.0,288.0
463.0,289.0
502.0,288.0
109.0,291.0
157.0,291.0
243.0,291.0
343.0,291.0
143.0,292.0
161.0,291.0
47.0,293.0
455.0,294.0
93.0,295.0
278.0,294.0
350.0,294.0
388.0,296.0
29.0,297.0
350.0,298.0
93.0,300.0
455.0,300.0
183.0,301.0
187.0,301.0
319.0,301.0
344.0,300.0
248.0,302.0
103.0,303.0
172.0,302.0
317.0,305.0
99.0,304.0
176.0,303.0
411.0,303.0
454.0,304.0
55.0,306.0
110.0,306.0
191.0,306.0
201.0,307.0
321.0,307.0
478.0,307.0
246.0,308.0
344.0,308.0
29.0,309.0
55.0,311.0
89.0,311.0
305.0,312.0
135.0,313.0
189.0,314.0
321.0,317.0
48.0,315.0
120.0,316.0
482.0,317.0
35.0,318.0
130.0,317.0
378.0,318.0
325.0,320.0
372.0,320.0
449.0,320.0
21.0,321.0
103.0,322.0
113.0,322.0
107.0,322.0
191.0,322.0
334.0,322.0
279.0,323.0
17.0,325.0
329.0,324.0
64.0,325.0
98.0,325.0
231.0,326.0
80.0,329.0
132.0,328.0
228.0,326.0
279.0,327.0
285.0,328.0
328.0,329.0
5.0,329.0
321.0,330.0
37.0,330.0
72.0,330.0
372.0,331.0
107.0,332.0
227.0,332.0
493.0,332.0
98.0,333.0
111.0,332.0
277.0,333.0
246.0,334.0
451.0,334.0
499.0,333.0
65.0,336.0
381.0,335.0
435.0,335.0
458.0,334.0
131.0,337.0
440.0,336.0
79.0,339.0
369.0,339.0
89.0,339.0
132.0,340.0
322.0,340.0
458.0,340.0
500.0,339.0
502.0,339.0
168.0,340.0
33.0,342.0
292.0,341.0
454.0,341.0
191.0,344.0
89.0,345.0
419.0,345.0
73.0,346.0
260.0,346.0
26.0,346.0
9.0,349.0
463.0,349.0
445.0,350.0
467.0,349.0
456.0,351.0
387.0,352.0
451.0,353.0
276.0,353.0
315.0,354.0
424.0,353.0
312.0,354.0
362.0,355.0
276.0,356.0
78.0,357.0
47.0,360.0
247.0,360.0
77.0,363.0
425.0,363.0
429.0,363.0
52.0,365.0
336.0,365.0
231.0,366.0
318.0,367.0
413.0,366.0
476.0,367.0
125.0,369.0
456.0,368.0
115.0,369.0
403.0,369.0
406.0,369.0
306.0,371.0
39.0,372.0
229.0,373.0
224.0,373.0
390.0,375.0
407.0,376.0
433.0,376.0
415.0,378.0
84.0,378.0
229.0,378.0
66.0,379.0
306.0,380.0
374.0,379.0
29.0,380.0
191.0,381.0
234.0,380.0
362.0,381.0
440.0,381.0
370.0,382.0
450.0,383.0
217.0,384.0
189.0,384.0
66.0,386.0
462.0,386.0
230.0,387.0
496.0,386.0
360.0,388.0
180.0,389.0
188.0,390.0
202.0,388.0
348.0,389.0
356.0,388.0
139.0,390.0
319.0,391.0
336.0,393.0
421.0,392.0
447.0,393.0
142.0,396.0
22.0,396.0
152.0,395.0
353.0,395.0
57.0,399.0
320.0,398.0
17.0,398.0
47.0,399.0
94.0,399.0
326.0,398.0
105.0,399.0
187.0,400.0
319.0,401.0
412.0,403.0
354.0,404.0
363.0,404.0
374.0,404.0
405.0,404.0
224.0,405.0
338.0,406.0
396.0,405.0
328.0,406.0
433.0,406.0
103.0,407.0
184.0,407.0
310.0,407.0
319.0,407.0
386.0,406.0
448.0,406.0
17.0,408.0
48.0,408.0
56.0,408.0
97.0,408.0
8.0,409.0
375.0,410.0
12.0,410.0
51.0,410.0
144.0,412.0
438.0,411.0
445.0,412.0
275.0,414.0
285.0,414.0
150.0,414.0
173.0,414.0
197.0,415.0
363.0,415.0
401.0,414.0
339.0,416.0
173.0,417.0
354.0,417.0
164.0,418.0
184.0,419.0
360.0,418.0
189.0,419.0
47.0,421.0
349.0,422.0
190.0,424.0
210.0,424.0
340.0,425.0
401.0,426.0
155.0,426.0
246.0,427.0
251.0,427.0
155.0,429.0
210.0,430.0
340.0,430.0
225.0,433.0
402.0,433.0
73.0,435.0
34.0,436.0
51.0,437.0
58.0,437.0
85.0,436.0
224.0,438.0
407.0,439.0
